case;
case;
common.opening;OPENING
common.opening.opening;Welcoming
common.opening.opening.desc;<b>Email:</b><br/>Correct salutations like Mr / Mrs/ Ms. etc. and with correct customer name<br/><br/><b>Phone:</b><br/>Greeting, Introduction.<br/>Use verbal handshake.
common.opening.opening.passed;<b>Email:</b><br/>Agent :<br/>- greeted customer with his name.<br/>- identified the recipient using the correct gender salutation (i.e. Mr/Mrs, etc..)<br/><br/><b>Phone:</b><br/>- Agent greeted the customer use verbal handshake<br/>- Agent provided brand/company name (Salt --not applicable for LIDL)<br/>- identified himself
common.opening.opening.failed;<b>Email:</b><br/>- greeting is not with correct customer's name.<br/>- customer's name has a spelling mistake.<br/>- Agent identified the recipient using a wrong gender salutation (i.e. Mr/Mrs, etc..)<br/><br/><b>Phone:</b><br/>Agent deviates from any of the 3 Pass Requirements
common.opening.identification;Identification
common.opening.identification.desc;Customer Correct verification  (according to ID process).
common.opening.identification.passed;Agent appropriately verified as per the ID process.
common.opening.identification.failed;<b>Email:</b><br/>Agent did not follow the <a href='http://qoom.salt.ch/knowledge/handling/ticket/contact_form-how_to_identify_the_applicant' target='_blank'>ID process</a>. <br/>Full call score will become zero as this is  a fatal error.<br/><br/><b>Phone:</b><br/>Agent did not follow the <a href='http://qoom.salt.ch/knowledge/handling/voice/customer_service-how_to_identify_the_caller' target='_blank'>ID process</a>. <br/>Over verifying is not a failure. Full call score will become zero as this is  a fatal error 
common.resolution;RESOLUTION STEPS
common.resolution.diagnostic;Issue Understanding & Diagnostics
common.resolution.diagnostic.desc;Correct diagnosis on customer's query.<br/>Clarify customer's issue. <br/>Review case history and reason for the issue.
common.resolution.diagnostic.passed;<b>Email:</b><br/>- Agent identified customer's query and reason for the issue.<br/>- Agent reviewed case history and background to understand issue (whenever applicable).<br/>- Agent provided a correct explanation of how/why the issue/problem happened.<br/>- Agent paid attention to customer's request/enquiry.<br/>- Agent managed to identify Customer Profile (i.e. Sunny / Cloudy / Stormy) - to adapt reply accordingly.<br/><br/><b>Phone:</b><br/>- CSS managed to understand customer's issue and identify the issue quickly.  <br/>- CSS asked open questions / closed questions --IF needed.<br/>- CSS asked alternative questions to understand the issue.<br/>- CSS asked appropriate probing questions which let to full understanding of customer concern.<br/><br/>Examples:<br/>«I want to make sure that I really have an understanding of what you’re telling me. So, …»<br/>«If I understand correctly, …»<br/>«So, what I understand so far is… it would be great if you could tell me a bit more about…»<br/><br/>OPEN QUESTIONS <br/>i.e. How, Why, When, Who, What, Where ?<br/>Example:<br/>· How often does that happen?<br/>· What did you do before the problem started?<br/>· What did it show you then?<br/><br/>CLOSED QUESTIONS  <br/>i.e. Did, Can, Have, Do, Is, Will, Would ?<br/>Example:<br/>· Did you try to make a call/test if a google page opens?<br/>· Do you see the bars of the network/signal?<br/>· Would you agree with that?
common.resolution.diagnostic.failed;<b>Email:</b><br/>- Agent did not identify correctly customer's query /nor reason for the issue.<br/>- Agent did not review case history and background to understand issue (whenever applicable).<br/>- Agent did not provide a correct explanation of how/why the issue/problem happened.<br/>- Agent rushed to hasty/erroneous assumptions of customer's issue (did not read carefully customer's mail/enquiry/request).<br/>- Agent did not put much thought in customer's request.<br/>- Agent did not manage to identify Customer Profile (i.e. Sunny / Cloudy / Stormy) -so failed to adapt reply accordingly.<br/><br/><b>Phone:</b><br/>- CSS did not ask appropriate questions to clarify issue. <br/>- CSS did not ask open questions / closed questions --wherever/if needed.<br/>- CSS did not ask alternative questions to understand the issue.<br/>- CSS did not manage to understand customer's issue and identify the issue quickly.<br/>- CSS asked questions that were not appropriate to the situation.
common.resolution.solution;Solution
common.resolution.solution.desc;Complete and correct information. Long term solution to avoid repeat. Recognize opportunities to show the values (quality, products) of the company to the customer and propose options. Treatment of objections. Correct Compensations. Customers retention. Actions taken.<br/><br/>Change category and escalate via Better Together if unnecessary ticket was created or landing to the wrong team (because of wrong case category used) or incompletely done
common.resolution.solution.passed;<b>When:</b><br/>- Agent provided accurate and complete information, provided solutions to customer concern and additional related benefits. <br/>- Agent clearly provided solutions that were pertinent to the situation and explained detailed process to manage customer.<br/>- Agent tried to retain the customer by proposing an offer adapted to his needs (PP change, SIMO extension or with device, acquisition of new subscription,  raise WB2 Case,  ...).<br/>- all policies and procedures were followed. <br/>- actions taken correctly and accordingly.<br/>- missed only minor policy guidelines that did not negatively impact the customer or business.<br/>- IF/when additional clarification(s) were needed by customer: Agent resolved the issue based on the information given and then asked further appropriate questions to resolve the problem.<br/>- in case of IDF mail: Agent provided general information to the extend that it is possible (avoiding breach of security) and then add IDF/message depending on needs/request.<br/>- Change category and escalate via Better Together if unnecessary ticket was created or landing to the wrong team (because of wrong case category used) or incompletely done
common.resolution.solution.failed;<b>When:</b><br/>- Agent provided incorrect or incomplete information<br/>- information was not related to customer concern.<br/>- agemt failed to perform resolution . <br/>- Agent attempted to provide solution that was inappropriate to the situation. <br/>- Agent didn’t try to retain the customer and didn’t propose him/her any (adapted) offer.<br/>- policy or Procedure was violated. <br/>- Agent followed incorrect guidelines for situation or did not adhere fully to the policy. <br/>- Agent did not  ask further, appropriate questions to resolve the problem, if more information is needed. <br/>- Agent gave compensation out of guidelines.<br/>- IF/when additional clarification(s) were needed by customer: Agent avoided giving any info/support (that would be based on the information given already by customer) and instead, asked directly for further questions and clarifications.<br/>- in case of IDF mail: Agent did not provide general information (to the extend that it is possible, avoiding breach of security) and only added the IDF/message.<br/>Full call score will become zero as this is  a fatal error.<br/>- Agent just close the ticket without re-routing it to the right team<br/>- no Better Together done to highlight wrong handling by case creator 
common.resolution.proactivity;Proactivity / Future Solution
common.resolution.proactivity.desc;Recognize opportunities to show the values (quality, products) of the company to the customer.<br/>Propose options and alternatives.<br/>Willingness to solve additional issues not proposed by the customer.
common.resolution.proactivity.passed;<b>When:</b><br/>- Agent anticipated further issues /questions and provided additional info and took action to avoid issue to recurr.<br/>- Agent went the extra mile in giving customer alternate - channels (MyAccount, FAQ, etc) to help himself  which the customer can do by himself the next time instead of calling or writing. <br/>Need to think potential future issues -related to Solution provided<br/>- Upsell/crossell to prevent from billshocks, or complaints (upgrade, WiFi extenders, etc.)
common.resolution.proactivity.failed;<b>When:</b><br/>- Agent did anticipate further issues/questions and so did not provide additional info or take action to avoid issue to recurr.<br/>- Agent did not go the extra mile in giving customer alternate - channels to help himself  which the customer can do by himself the next time instead of calling or writing. <br/>- Agent did not put much thought into thinking potential future issues -related to Solution provided.
common.resolution.system;System usage & Notations
common.resolution.system.desc;Correct wrapup and notes, and efficient Tool Usage.
common.resolution.system.passed;<b>When:</b><br/>- efficient use of Tools (memos, SuperOffice tabs, External Tools, etc..).<br/>- full detailed notes about customer interaction in the appropriate systems (i.e. Wrap-up memo in SO, VTI, etc.) and needed information in « External ticket ID » (contractor, FLL,…) in SO. <br/>- accurate wrapup category.<br/>- clear message left in the Internal message tab (email/case).<br/>- ticket has the right status (email/case).<br/>- Informations nécessaire ajoutées dans « External ticket ID » (contractor, FLL,…) (email/case).<br/>- Necessary information added in the "External ticket ID" field in SO (contractor, FLL,...) (for email/case).
common.resolution.system.failed;<b>When:<br/></b>- Agent did not use efficiently all available Tools (memos, SuperOffice tabs, External Tools, etc..).<br/>- there are not detailed notes about customer interaction in the appropriate systems (i.e. Wrap-up memo missing in some tools) and no information added in «External ticket ID» in SO (email/case). <br/>- wrapup category is wrong / not corresponding to Interaction or actions done by Agent.<br/>- ticket status is wrong.<br/>- incorrect case creation.
common.communication;COMMUNICATION
inbound.communication.listening;Active Listening
inbound.communication.listening.desc;Before engaging in a solution, actively listen to the customer. Paraphrase the customer's point of view, if need be.<br/><br/>Active listening in customer service means being totally focused on the words that the customer is saying, understanding what those words mean and responding in a manner that validates what they’re saying.
inbound.communication.listening.passed;<b>When:<br/></b>- CSS did follow «Observe, Verify and Observe» approach<br/>- CSS did use verbal nodding throughout the call <br/>  (i.e. «I see.. / I understand.. / Hmm, yes, let me check this for you...» etc.)<br/>- Focus on what the customer is saying, rather than what you’re going to say in response<br/>- Focus on what the customer isn’t saying – tone of voice <br/>- Don’t interrupt – nobody likes to be cut off in the middle of a sentence.<br/>- Give the customer your full attention, and tune out distractions; definitely don’t multitask while talking to a customer<br/>- Take quick notes, but don’t let them distract you from what the customer is saying<br/>- Occasionally repeat what the customer has said back to them, to confirm you have the correct information, and to demonstrate your attentiveness<br/>- Don’t take it personally when a customer is upset – often they just want you to validate their frustration before you can move on to a solution<br/>- Check frequently that you are collecting the right information and understand the issue correctly
inbound.communication.listening.failed;<b>When: </b><br/>- CSS did not follow «Observe, Verify and Observe» approach<br/>- CSS did not use verbal nodding throughout the call<br/>- CSS seemed distracted when customer spoke<br/>- made the customer repeat the same thing<br/>- CSS did not listen to information provided and customer had to repeat same information several times<br/>- CSS interrupts customer<br/>- CSS doesn't ensure he/she's collecting the right data
case.communication.contact;Contact mode
case.communication.contact.desc;Is the means of contacting the customer the right one (Call? Sending a template?)
case.communication.contact.passed;<b>When:</b><br/>- The Agent privileged the call to the customer when the case is complex, sensitive (a complaint) or requiring  several actions from the customer<br/>- The Agent privileged the sending of a template (the right resolution template), when customer was not reached by phone or simple cases where a template is available (ex. compensation done)
case.communication.contact.failed;<b>When:</b><br/>- The Agent did not privilege the call to the customer or the sending of a template (or sent the wrong one).
common.communication.softskills;Softskills
common.communication.softskills.desc;Demonstration of Soft Skills and Empathy. <br/>Acknowledgement of customer's feelings.<br/>Ability that allows to understand customer’s perspective, even if you don’t necessarily agree.<br/>- communicate with sincerity<br/>- address both facts and feelings<br/>- demonstrate appropriate level of concern<br/>- remain objective
